A1,VBG
A2,VDDUTMI
A3,PB9
A4,PB10
A5,PB19
A6,PC21
A7,PB26
A8,TCK/SWCLK
A9,PB30
A10,TDO/TRACESWO
A11,XIN32
A12,XOUT32
B1,VDDCORE
B2,GNDUTMI
B3,XOUT
B4,PB14
B5,PB17
B6,PB22
B7,PB25
B8,PB29
B9,VDDIN
B10,JTAGSEL
B11,ERASE
B12,SHDN
C1,DFSDP
C2,DHSDP
C3,XIN
C4,VDDPLL
C5,PB18
C6,PB20
C7,PB27
C8,TMS/SWDIO
C9,VDDOUT
C10,NRSTB
C11,TST
C12,FWUP
D1,DFSDM
D2,DHSDM
D3,GNDPLL
D4,PC14
D5,PB21
D6,PB23
D7,PB24
D8,PB28
D9,TDI
D10,VDDBU
D11,PA10/PGMD2
D12,PA11/PGMD3
E1,PC22
E2,PA28
E3,PC19
E4,VDDCORE
E5,GND
E6,VDDIO
E7,GNDBU
E8,NRST
E9,PB31
E10,PA12/PGMD4
E11,PA8/PGMD0
E12,PC8
F1,PA31
F2,PA29
F3,PC23
F4,VDDCORE
F5,VDDIO
F6,GND
F7,GND
F8,VDDIO
F9,PC9
F10,PA9/PGMD1
F11,VDDCORE
F12,PC7
G1,PB0
G2,PC26
G3,PB2
G4,PC25
G5,PB1
G6,GND
G7,GND
G8,VDDCORE
G9,PC4
G10,PA6/PGMM2
G11,PA7/PGMM3
G12,PC6
H1,PC24
H2,PC27
H3,PA27
H4,PB12
H5,PB11
H6,GND
H7,VDDCORE
H8,PB16
H9,PB15
H10,PC3
H11,PA5/PGMM1
H12,PC5
J1,PB5
J2,PB6
J3,PC28
J4,PB8
J5,PB13
J6,VDDIO
J7,PA13/PGMD5
J8,PA17/PGMD9
J9,PC13
J10,PA2/PGMNOE
J11,PA3/PGMNVALID
J12,PA4/PGMM0
K1,PB7
K2,PC31
K3,PC29
K4,PB3
K5,PB4
K6,PA14/PGMD6
K7,PA16/PGMD8
K8,PA18/PGMD10
K9,PC20
K10,PA1/PGMRDY
K11,PC1
K12,PC2
L1,PC30
L2,ADVREF
L3,AD12BVREF
L4,PA22/PGMD14
L5,PC17
L6,PC10
L7,PC12
L8,PA19/PGMD11
L9,PA23/PGMD15
L10,PA0/PGMNCMD
L11,PA26
L12,PC0
M1,VDDANA
M2,GNDANA
M3,PA30
M4,PC15
M5,PC16
M6,PC18
M7,PA15/PGMD7
M8,PC11
M9,PA20/PGMD12
M10,PA21/PGMD13
M11,PA24
M12,PA25
